id,name,satofull_id,created_at,updated_at
1,肉,g101,0000-00-00 00:00:00,0000-00-00 00:00:00
2,魚介・海産物,g102,0000-00-00 00:00:00,0000-00-00 00:00:00
3,米・パン,g103,0000-00-00 00:00:00,0000-00-00 00:00:00
4,果物・フルーツ,g104,0000-00-00 00:00:00,0000-00-00 00:00:00
5,野菜,g105,0000-00-00 00:00:00,0000-00-00 00:00:00
6,卵・乳製品,g106,0000-00-00 00:00:00,0000-00-00 00:00:00
7,酒・アルコール,g107,0000-00-00 00:00:00,0000-00-00 00:00:00
8,飲料・ドリンク,g108,0000-00-00 00:00:00,0000-00-00 00:00:00
9,お菓子・スイーツ,g109,0000-00-00 00:00:00,0000-00-00 00:00:00
10,麺,g110,0000-00-00 00:00:00,0000-00-00 00:00:00
11,惣菜・加工品,g111,0000-00-00 00:00:00,0000-00-00 00:00:00
12,調味料,g112,0000-00-00 00:00:00,0000-00-00 00:00:00
13,旅行券・チケット,g113,0000-00-00 00:00:00,0000-00-00 00:00:00
14,雑貨・日用品,g114,0000-00-00 00:00:00,0000-00-00 00:00:00
15,美容,g115,0000-00-00 00:00:00,0000-00-00 00:00:00
16,装飾品・工芸品,g116,0000-00-00 00:00:00,0000-00-00 00:00:00
17,花・観葉植物,g117,0000-00-00 00:00:00,0000-00-00 00:00:00
