id,name,category_id,satofull_id,created_at,updated_at
1,牛肉（精肉）,1,101,0000-00-00 00:00:00,0000-00-00 00:00:00
2,牛肉（加工品）,1,1001,0000-00-00 00:00:00,0000-00-00 00:00:00
3,豚肉（精肉）,1,102,0000-00-00 00:00:00,0000-00-00 00:00:00
4,豚肉（加工品）,1,1002,0000-00-00 00:00:00,0000-00-00 00:00:00
5,鶏肉,1,103,0000-00-00 00:00:00,0000-00-00 00:00:00
6,馬肉,1,106,0000-00-00 00:00:00,0000-00-00 00:00:00
7,その他肉・加工品,1,113,0000-00-00 00:00:00,0000-00-00 00:00:00
8,羊肉・ラム肉（ジンギスカン）,1,105,0000-00-00 00:00:00,0000-00-00 00:00:00
9,カニ,2,114,0000-00-00 00:00:00,0000-00-00 00:00:00
10,エビ,2,115,0000-00-00 00:00:00,0000-00-00 00:00:00
11,いくら,2,117,0000-00-00 00:00:00,0000-00-00 00:00:00
12,明太子・たらこ,2,119,0000-00-00 00:00:00,0000-00-00 00:00:00
13,うに,2,118,0000-00-00 00:00:00,0000-00-00 00:00:00
14,その他魚卵,2,1003,0000-00-00 00:00:00,0000-00-00 00:00:00
15,貝,2,120,0000-00-00 00:00:00,0000-00-00 00:00:00
16,うなぎ,2,116,0000-00-00 00:00:00,0000-00-00 00:00:00
17,鮮魚,2,1004,0000-00-00 00:00:00,0000-00-00 00:00:00
18,イカ・タコ,2,1005,0000-00-00 00:00:00,0000-00-00 00:00:00
19,干物,2,121,0000-00-00 00:00:00,0000-00-00 00:00:00
20,海苔・海藻,2,122,0000-00-00 00:00:00,0000-00-00 00:00:00
21,その他魚介・加工品,2,124,0000-00-00 00:00:00,0000-00-00 00:00:00
22,米,3,125,0000-00-00 00:00:00,0000-00-00 00:00:00
23,その他穀物加工品,3,131,0000-00-00 00:00:00,0000-00-00 00:00:00
24,パン,3,130,0000-00-00 00:00:00,0000-00-00 00:00:00
25,梨,4,1006,0000-00-00 00:00:00,0000-00-00 00:00:00
26,いちご,4,134,0000-00-00 00:00:00,0000-00-00 00:00:00
27,みかん,4,135,0000-00-00 00:00:00,0000-00-00 00:00:00
28,もも,4,132,0000-00-00 00:00:00,0000-00-00 00:00:00
29,その他柑橘,4,1007,0000-00-00 00:00:00,0000-00-00 00:00:00
30,りんご,4,133,0000-00-00 00:00:00,0000-00-00 00:00:00
31,さくらんぼ,4,136,0000-00-00 00:00:00,0000-00-00 00:00:00
32,メロン,4,137,0000-00-00 00:00:00,0000-00-00 00:00:00
33,すいか,4,1008,0000-00-00 00:00:00,0000-00-00 00:00:00
34,マンゴー,4,138,0000-00-00 00:00:00,0000-00-00 00:00:00
35,ぶどう・マスカット,4,139,0000-00-00 00:00:00,0000-00-00 00:00:00
36,キウイ,4,1009,0000-00-00 00:00:00,0000-00-00 00:00:00
