id,family_id,income_id,deduction,deduction_id
1,1,1,28000,3
2,1,2,34000,3
3,1,3,42000,4
4,1,4,52000,5
5,1,5,61000,5
6,1,6,69000,5
7,1,7,77000,5
8,1,8,97000,5
9,1,9,108000,6
10,1,10,118000,6
11,1,11,129000,6
12,1,12,140000,6
13,1,13,151000,7
14,1,14,163000,7
15,1,15,176000,7
16,1,16,239000,7
17,1,17,351000,8
18,1,18,420000,8
19,1,19,489000,8
20,1,20,560000,9
21,1,21,631000,9
22,1,22,804000,9
23,2,1,28000,3
24,2,2,34000,3
25,2,3,42000,4
26,2,4,52000,5
27,2,5,61000,5
28,2,6,69000,5
29,2,7,77000,5
30,2,8,97000,5
31,2,9,108000,6
32,2,10,118000,6
33,2,11,129000,6
34,2,12,140000,6
35,2,13,151000,7
36,2,14,163000,7
37,2,15,176000,7
38,2,16,239000,7
39,2,17,351000,8
40,2,18,420000,8
41,2,19,489000,8
42,2,20,560000,9
43,2,21,631000,9
44,2,22,804000,9
45,3,1,19000,2
46,3,2,26000,3
47,3,3,33000,3
48,3,4,41000,4
49,3,5,49000,4
50,3,6,60000,5
51,3,7,69000,5
52,3,8,77000,5
53,3,9,86000,5
54,3,10,109000,6
55,3,11,120000,6
56,3,12,131000,6
57,3,13,141000,6
58,3,14,154000,7
59,3,15,166000,7
60,3,16,229000,7
61,3,17,339000,8
62,3,18,408000,8
63,3,19,477000,8
64,3,20,548000,9
65,3,21,619000,9
66,3,22,791000,9
67,4,1,19000,2
68,4,2,26000,3
69,4,3,33000,3
70,4,4,41000,4
71,4,5,49000,4
72,4,6,60000,5
73,4,7,69000,5
74,4,8,77000,5
75,4,9,86000,5
76,4,10,109000,6
77,4,11,120000,6
78,4,12,131000,6
79,4,13,141000,6
80,4,14,154000,7
81,4,15,166000,7
82,4,16,229000,7
83,4,17,339000,8
84,4,18,408000,8
85,4,19,477000,8
86,4,20,548000,9
87,4,21,619000,9
88,4,22,791000,9
89,5,1,15000,1
90,5,2,22000,2
91,5,3,29000,3
92,5,4,37000,4
93,5,5,44000,4
94,5,6,57000,5
95,5,7,66000,5
96,5,8,74000,5
97,5,9,83000,5
98,5,10,106000,6
99,5,11,116000,6
100,5,12,127000,6
101,5,13,138000,6
102,5,14,150000,6
103,5,15,163000,7
104,5,16,226000,7
105,5,17,335000,8
106,5,18,404000,8
107,5,19,473000,8
108,5,20,544000,9
109,5,21,615000,9
110,5,22,786000,9
111,6,1,11000,1
112,6,2,18000,2
113,6,3,25000,3
114,6,4,33000,3
115,6,5,40000,4
116,6,6,48000,4
117,6,7,60000,5
118,6,8,68000,5
119,6,9,78000,5
120,6,10,87000,5
121,6,11,110000,6
122,6,12,121000,6
123,6,13,132000,6
124,6,14,144000,6
125,6,15,157000,7
126,6,16,219000,7
127,6,17,328000,8
128,6,18,397000,8
129,6,19,466000,8
130,6,20,537000,9
131,6,21,608000,9
132,6,22,777000,9
133,7,1,7000,1
134,7,2,13000,1
135,7,3,21000,2
136,7,4,28000,3
137,7,5,36000,4
138,7,6,44000,4
139,7,7,57000,5
140,7,8,65000,5
141,7,9,75000,5
142,7,10,84000,5
143,7,11,107000,6
144,7,12,118000,6
145,7,13,128000,6
146,7,14,141000,6
147,7,15,153000,7
148,7,16,206000,7
149,7,17,274000,8
150,7,18,392000,8
151,7,19,461000,8
152,7,20,532000,9
153,7,21,603000,9
154,7,22,772000,9
155,8,1,0,0
156,8,2,5000,1
157,8,3,12000,1
158,8,4,20000,2
159,8,5,28000,3
160,8,6,35000,3
161,8,7,43000,4
162,8,8,53000,5
163,8,9,66000,5
164,8,10,76000,5
165,8,11,85000,5
166,8,12,108000,6
167,8,13,119000,6
168,8,14,131000,6
169,8,15,144000,6
170,8,16,197000,7
171,8,17,264000,8
172,8,18,381000,8
173,8,19,450000,8
174,8,20,521000,9
175,8,21,592000,9
176,8,22,759000,9
